"B,mTl","E,mV","I_M,mA","t,ms"
5,25.4,12.7,1524
2,43.18333333333333,21.591666666666665,2591
4,54.06666666666667,27.033333333333335,3244
5,64.7,32.35,3882
6,75.96666666666667,37.983333333333334,4558
7,85.83333333333333,42.916666666666664,5150
8,96.31666666666666,48.15833333333333,5779
2,107.6,53.8,6456
3,119.13333333333334,59.56666666666667,7148
5,132.63333333333333,66.31666666666666,7958
7,148.61666666666667,74.30833333333334,8917
8,166.11666666666667,83.05833333333334,9967
5,176.33333333333334,88.16666666666667,10580
6,185.81666666666666,92.90833333333333,11149
7,193.21666666666667,96.60833333333333,11593
8,202.28333333333333,101.14166666666667,12137
3,212.7,106.35,12762
5,252.5,126.25,15150
