"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0016666666666666666,0.05,1,1
16.716666666666665,16.716666666666665,16.716666666666665,1.6716666666666664,0.05,1,1003
86.41666666666667,86.41666666666667,86.41666666666667,8.641666666666667,0,2,5185
112.8,112.8,112.8,11.28,0,3,6768
154.18333333333334,154.18333333333334,154.18333333333334,15.418333333333333,0,5,9251
181.36666666666667,181.36666666666667,181.36666666666667,18.136666666666667,0,8,10882
201.66666666666666,201.66666666666666,201.66666666666666,20.166666666666664,0,9,12100
226.91666666666666,226.91666666666666,226.91666666666666,22.691666666666666,0,10,13615
255.53333333333333,255.53333333333333,255.53333333333333,25.553333333333335,0,12,15332
292.65,292.65,292.65,29.264999999999997,0,13,17559
346.06666666666666,346.06666666666666,346.06666666666666,34.60666666666667,0,16,20764
363.5,363.5,363.5,36.35,0,17,21810
397.5833333333333,397.5833333333333,397.5833333333333,39.75833333333333,0,18,23855
441.4,441.4,441.4,44.14,0,19,26484
468.98333333333335,468.98333333333335,468.98333333333335,46.89833333333333,0,20,28139
486.1666666666667,486.1666666666667,486.1666666666667,48.61666666666667,0,21,29170
511.53333333333336,511.53333333333336,511.53333333333336,51.153333333333336,0,23,30692
556.6666666666666,556.6666666666666,556.6666666666666,55.666666666666664,0,25,33400
609.0666666666667,609.0666666666667,609.0666666666667,60.90666666666667,0,27,36544
644.2166666666667,644.2166666666667,644.2166666666667,64.42166666666667,0,29,38653
663.9666666666667,663.9666666666667,663.9666666666667,66.39666666666668,0,30,39838
750.8833333333333,750.8833333333333,750.8833333333333,75.08833333333334,0,31,45053
769.3833333333333,769.3833333333333,769.3833333333333,76.93833333333333,0,32,46163
789.7666666666667,789.7666666666667,789.7666666666667,78.97666666666666,0,33,47386
