"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
54.912601600,0.022545017,54.912601600,-0.000019950,0.05,1,3
-52.060150400,0.022539087,-52.060150400,0.000001478,0.1,1,4666
-75.258937600,0.022539383,-75.258937600,0.000000887,0.15000000000000002,1,8624
-84.710291200,0.022537604,-84.710291200,0.000000591,0.2,1,12584
-96.739148800,0.022546203,-96.739148800,0.000001182,0.25,1,16543
-116.286024000,0.022521593,-116.286024000,0.000000887,0.3,1,20500
49.112131200,0.022542645,49.112131200,0.000000887,0.35,1,24458
-42.178300800,0.022542645,-42.178300800,0.000000591,0.39999999999999997,1,28422
-66.880505600,0.022552133,-66.880505600,0.000002956,0.44999999999999996,1,32381
-77.620588800,0.022541162,-77.620588800,0.000001478,0.49999999999999994,1,36341
-86.278067200,0.022536122,-86.278067200,0.000002956,0.5499999999999999,1,40304
-101.034144000,0.022547389,-101.034144000,0.000001478,0.6,1,44251
-40.769996800,0.022537901,-40.769996800,0.000001478,0.65,1,48208
-75.257670400,0.022539680,-75.257670400,0.000002365,0.7000000000000001,1,52151
-14.468808000,0.022547092,-14.468808000,0.000000887,0.7500000000000001,1,56106
-20.782137600,0.022508250,-20.782137600,0.000002660,0.8000000000000002,1,60059
-117.143920000,-53.429883600,-117.143920000,0.000000296,0,2,77116
19.684692800,-65.924975500,54.912601600,0.000001478,0.05,2,81263
-55.926828800,-65.976986000,-52.060150400,0.000001478,0.1,2,85216
-96.524288000,-65.981806800,-75.258937600,0.000001478,0.15000000000000002,2,89167
26.264070400,-65.985609500,-84.710291200,0.000001774,0.2,2,93135
-82.561350400,-65.986927000,-96.739148800,-0.000000591,0.25,2,97093
-116.714504000,-65.989891300,-116.286024000,0.000000887,0.3,2,101052
33.216563200,-65.992825700,49.112131200,0.000002069,0.35,2,105031
-54.440454400,-65.994352800,-42.178300800,0.000001478,0.39999999999999997,2,108981
-95.580371200,-65.997107500,-66.880505600,-0.000000591,0.44999999999999996,2,112947
36.008928000,-65.999173600,-77.620588800,0.000001478,0.49999999999999994,2,116902
-71.176358400,-66.002108000,-86.278067200,0.000000591,0.5499999999999999,2,120864
-109.075512000,-66.004742900,-101.034144000,0.000001182,0.6,2,124825
16.771185600,-66.007407800,-40.769996800,-0.000000591,0.65,2,128788
-109.195920000,-66.009294200,-75.257670400,0.000000296,0.7000000000000001,2,132735
-85.997382400,-882.139057000,-117.143920000,0.000000591,0,3,140681
-90.807603200,-900.620806000,54.912601600,-0.000001773,0.05,3,144690
-31.313344000,-900.573120000,-52.060150400,-0.000001478,0.1,3,148651
-64.517766400,-900.397281000,-75.258937600,-0.000001773,0.15000000000000002,3,152613
-105.544272000,-900.349595000,-84.710291200,-0.000002955,0.2,3,156578
-119.291432000,-900.036661000,-96.739148800,-0.000002660,0.25,3,160543
-2.679719360,-899.914467000,-116.286024000,-0.000003546,0.3,3,164510
-25.637230400,-896.954996000,49.112131200,-0.000002069,0.35,3,168472
-69.458662400,-897.005662000,-42.178300800,-0.000000886,0.39999999999999997,3,172421
-111.129544000,-898.698491000,-66.880505600,-0.000000591,0.44999999999999996,3,176380
16.732065600,-898.123287000,-77.620588800,-0.000000886,0.49999999999999994,3,180344
-82.991212800,-898.057720000,-86.278067200,-0.000002069,0.5499999999999999,3,184309
