"B,mTl","E,mV","I_M,mA","t,ms"
0,1,0.757670734,16994
1.5,1,0.146200967,42603
0.6,1,1.398508250,61258
1,1,4.733882400,76877
8,1,10.500660300,96253
10.8,1,14.688988800,112530
20.8,1,25.747261200,131385
25.6,1,31.158423900,147767
45.9,1,52.960915800,165827
55.6,1,63.602648100,181431
73.9,1,83.366639600,204434
94,1,105.087687000,225910
108,1,122.117340000,243130
121.7,1,140.350270000,269792
129.6,1,150.569181000,295902
130.4,1,151.663797000,314155
160,1,181.381647000,344770
319.2,1,338.436684000,364556
471.3,1,491.555226000,391313
654.3,1,685.473560000,419022
772.6,1,826.800940000,447838
852.1,1,941.043057000,470883
904.6,1,1041.769360000,511060
968.5,1,1192.493730000,531205
1030.7,1,1387.031980000,543838
1055.8,1,1481.669460000,563570
1078.8,1,1579.776060000,585507
1084.3,1,1605.019480000,596378
