"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-0.010768070,1544.226650000,-0.010768070,0.036787210,0.1,1,1
0.013710173,10.131632700,-0.010768070,0.073247051,0.15000000000000002,1,5980
-0.004683785,0.010673644,-0.010768070,0.109136855,0.2,1,11989
-0.006348955,-0.001609426,-0.010768070,0.146176673,0.25,1,17964
-0.006639136,-0.008379514,-0.010768070,0.181526790,0.3,1,23865
-0.006020422,-0.012027409,-0.010768070,0.202997246,0.35,1,29738
-0.007904277,-0.014209089,-0.010768070,0.251648606,0.39999999999999997,1,35627
-0.008572456,-0.015675600,-0.010768070,0.275341536,0.44999999999999996,1,41545
-0.009474125,-0.016729970,-0.010768070,0.303881206,0.49999999999999994,1,47442
-0.008623683,-0.017528753,-0.010768070,0.318177788,0.5499999999999999,1,53328
-0.008633439,-0.018076990,-0.010768070,0.378448168,0.6,1,59213
-0.011503976,-0.018610105,-0.010768070,0.434829125,0.65,1,65110
-0.011840230,-0.018999416,-0.010768070,0.471252263,0.7000000000000001,1,71013
-0.012662090,-0.019343064,-0.010768070,0.507390197,0.7500000000000001,1,76903
-0.013246676,-0.019606064,-0.010768070,0.542352438,0.8000000000000002,1,82807
-0.014589285,-0.019840599,-0.010768070,0.579543707,0.8500000000000002,1,88676
-0.015135190,-0.020039257,-0.010768070,0.628212615,0.9000000000000002,1,94558
-0.014986918,-0.020225165,-0.010768070,0.667428984,0.9500000000000003,1,100432
-0.016649795,-0.020362743,-0.010768070,0.705553006,1.0000000000000002,1,106311
-0.017094582,-0.020183358,-0.010768070,0.743724611,1.0500000000000003,1,112223
-0.018654939,-0.020619516,-0.010768070,0.780485266,1.1000000000000003,1,118109
-0.018847256,-0.020728630,-0.010768070,0.818611652,1.1500000000000004,1,124003
-0.023845245,42.013511700,-0.023845245,0.000091771,0.05,2,152061
-0.003471042,53.990945300,-0.023845245,0.037430544,0.1,2,158179
-0.006763437,53.985915000,-0.023845245,0.074523267,0.15000000000000002,2,164070
-0.008434526,53.982741000,-0.023845245,0.111163786,0.2,2,169967
-0.010845810,53.979058100,-0.023845245,0.144549630,0.25,2,175866
-0.013145966,53.978279600,-0.023845245,0.181559597,0.3,2,181771
-0.014637949,53.979267700,-0.023845245,0.218497447,0.35,2,187654
-0.017813510,53.977261500,-0.023845245,0.253053642,0.39999999999999997,2,193531
-0.019549314,53.977501100,-0.023845245,0.286560864,0.44999999999999996,2,199482
-0.020789693,53.978040000,-0.023845245,0.309158230,0.49999999999999994,2,205356
-0.020218008,53.983699200,-0.023845245,0.281603624,0.5499999999999999,2,211242
-0.016530448,53.985855100,-0.023845245,0.277439637,0.6,2,217118
-0.022140622,53.988520000,-0.023845245,0.353649555,0.65,2,223016
-0.026185779,53.991184900,-0.023845245,0.407589575,0.7000000000000001,2,228911
-0.028925984,53.991753800,-0.023845245,0.453233835,0.7500000000000001,2,234801
-0.030141491,53.993041300,-0.023845245,0.453842075,0.8000000000000002,2,240706
-0.027229734,53.994388700,-0.023845245,0.435353133,0.8500000000000002,2,246587
-0.027996086,53.995975700,-0.023845245,0.408601829,0.9000000000000002,2,252491
-0.022486856,53.997442900,-0.023845245,0.361166247,0.9500000000000003,2,258382
-0.030874150,53.999029900,-0.023845245,0.497952437,1.0000000000000002,2,264296
-0.033511536,54.000616800,-0.023845245,0.521451522,1.0500000000000003,2,270189
-0.031735709,54.002473300,-0.023845245,0.532445346,1.1000000000000003,2,276068
-0.002092841,148.737435000,-0.002092841,0.000103888,0.05,3,285797
-0.006591668,148.740969000,-0.002092841,0.024306919,0.1,3,291748
-0.003739590,148.744711000,-0.002092841,0.004337598,0.15000000000000002,3,297620
-0.003338147,148.748814000,-0.002092841,0.011568700,0.2,3,303514
-0.005456577,148.753724000,-0.002092841,0.025733573,0.25,3,309411
-0.009469016,148.758066000,-0.002092841,0.063341156,0.3,3,315324
-0.013971776,148.763276000,-0.002092841,0.091816317,0.35,3,321226
-0.018789701,148.768336000,-0.002092841,0.132618874,0.39999999999999997,3,327115
-0.024204451,148.773337000,-0.002092841,0.167455608,0.44999999999999996,3,332999
-0.029392723,148.773097000,-0.002092841,0.194157131,0.49999999999999994,3,338876
-0.030673299,148.778906000,-0.002092841,0.218647681,0.5499999999999999,3,344750
-0.032705747,148.785853000,-0.002092841,0.239759826,0.6,3,350694
-0.038426592,148.790943000,-0.002092841,0.272834987,0.65,3,356591
-0.044468282,148.796123000,-0.002092841,0.322055093,0.7000000000000001,3,362498
-0.052481283,148.803010000,-0.002092841,0.403475831,0.7500000000000001,3,368389
-0.062384480,148.808040000,-0.002092841,0.473364551,0.8000000000000002,3,374269
-0.071164723,148.813250000,-0.002092841,0.537593807,0.8500000000000002,3,380147
-0.079403117,148.818460000,-0.002092841,0.589026391,0.9000000000000002,3,386038
-0.085731136,148.823371000,-0.002092841,0.633812378,0.9500000000000003,3,391895
-0.090447277,148.828252000,-0.002092841,0.675807793,1.0000000000000002,3,397804
-0.095510010,148.832863000,-0.002092841,0.718396079,1.0500000000000003,3,403704
-0.102517160,148.837773000,-0.002092841,0.758575347,1.1000000000000003,3,409597
-0.107179496,148.842834000,-0.002092841,0.796797786,1.1500000000000004,3,415494
-0.110619952,148.847565000,-0.002092841,0.830933081,1.2000000000000004,3,421386
-0.114104024,148.852056000,-0.002092841,0.858439217,1.2500000000000004,3,427271
-0.117556872,148.857326000,-0.002092841,0.884213732,1.3000000000000005,3,433159
-0.122215048,148.861847000,-0.002092841,0.913272385,1.3500000000000005,3,439076
-0.125220768,148.866339000,-0.002092841,0.940826695,1.4000000000000006,3,444962
-0.128242744,148.871339000,-0.002092841,0.964785654,1.4500000000000006,3,450857
-0.133344216,148.875681000,-0.002092841,0.996330760,1.5000000000000007,3,456745
-0.135902352,148.880891000,-0.002092841,1.021865880,1.5500000000000007,3,462666
-0.008593279,303.462270000,-0.008593279,0.000073150,0.05,4,492662
-0.011677579,312.231583000,-0.008593279,0.034813977,0.1,4,498648
-0.021462037,312.228603000,-0.008593279,0.069863216,0.15000000000000002,4,504515
-0.030283917,312.261386000,-0.008593279,0.104856892,0.2,4,510402
-0.037995654,312.255426000,-0.008593279,0.136706429,0.25,4,516281
-0.048140624,312.255426000,-0.008593279,0.172827360,0.3,4,522152
-0.056438259,312.264367000,-0.008593279,0.207578973,0.35,4,528032
-0.066435322,312.270327000,-0.008593279,0.243269811,0.39999999999999997,4,533921
-0.075905440,312.294170000,-0.008593279,0.277756761,0.44999999999999996,4,539874
-0.083764787,312.300131000,-0.008593279,0.310713703,0.49999999999999994,4,545759
-0.091924384,312.276288000,-0.008593279,0.343236484,0.5499999999999999,4,551669
-0.099522234,312.294170000,-0.008593279,0.369909467,0.6,4,557551
-0.108006888,312.315032000,-0.008593279,0.402208813,0.65,4,563424
-0.116794928,312.291190000,-0.008593279,0.437246419,0.7000000000000001,4,569340
-0.127066464,312.297150000,-0.008593279,0.472323037,0.7500000000000001,4,575220
-0.133088080,312.318013000,-0.008593279,0.492418582,0.8000000000000002,4,581139
-0.132342296,312.338875000,-0.008593279,0.480232218,0.8500000000000002,4,587048
-0.120093984,312.332914000,-0.008593279,0.448015921,0.9000000000000002,4,592955
-0.105055912,312.318013000,-0.008593279,0.385272981,0.9500000000000003,4,598828
-0.114014104,312.335895000,-0.008593279,0.418037520,1.0000000000000002,4,604707
-0.132666816,312.309072000,-0.008593279,0.488779785,1.0500000000000003,4,610620
-0.172108528,312.323973000,-0.008593279,0.664393994,1.1000000000000003,4,616536
-0.188849904,312.341855000,-0.008593279,0.714716497,1.1500000000000004,4,622434
-0.201219856,312.315032000,-0.008593279,0.755239192,1.2000000000000004,4,628332
-0.207935200,312.335895000,-0.008593279,0.793619455,1.2500000000000004,4,634246
-0.227603376,312.341855000,-0.008593279,0.872683782,1.3000000000000005,4,640159
-0.247279120,312.341855000,-0.008593279,0.939235756,1.3500000000000005,4,646068
-0.260153392,312.353777000,-0.008593279,0.988110956,1.4000000000000006,4,651942
-0.272661664,312.341855000,-0.008593279,1.033667440,1.4500000000000006,4,657810
-0.002458638,642.151442000,-0.002458638,0.000101228,0.05,5,678956
-0.023176411,641.930898000,-0.002458638,0.038470019,0.1,5,684923
-0.041944448,641.915996000,-0.002458638,0.076966638,0.15000000000000002,5,690845
-0.062084704,641.856389000,-0.002458638,0.115402668,0.2,5,696737
-0.079582803,641.808704000,-0.002458638,0.150273686,0.25,5,702611
-0.099720832,641.755058000,-0.002458638,0.188693165,0.3,5,708524
-0.120264168,641.692471000,-0.002458638,0.227151197,0.35,5,714445
-0.138371920,641.665648000,-0.002458638,0.265658176,0.39999999999999997,5,720365
-0.159007024,641.594120000,-0.002458638,0.304039620,0.44999999999999996,5,726266
-0.179070016,641.561336000,-0.002458638,0.342455053,0.49999999999999994,5,732158
