"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-0.002016705,135.942282000,-0.002016705,0.038062241,0.1,1,1
-0.002234608,-0.004309900,-0.002016705,0.076645072,0.15000000000000002,1,5936
-0.002010956,-0.020202928,-0.002016705,0.114092463,0.2,1,11911
-0.002535316,-0.021186433,-0.002016705,0.150165217,0.25,1,17813
-0.002416515,-0.021624963,-0.002016705,0.186426241,0.3,1,23713
-0.003100215,-0.021842301,-0.002016705,0.218838816,0.35,1,29621
-0.002998086,-0.021988774,-0.002016705,0.260027696,0.39999999999999997,1,35501
-0.002296078,34.759893300,-0.002296078,0.000074333,0.05,2,46847
-0.000886866,46.573115600,-0.002296078,0.037305819,0.1,2,52978
-0.002505107,46.567276800,-0.002296078,0.070835600,0.15000000000000002,2,58869
-0.001512312,46.562246400,-0.002296078,0.110261450,0.2,2,64744
-0.001925761,46.557515500,-0.002296078,0.143012142,0.25,2,70633
-0.002764323,46.554581100,-0.002296078,0.151319959,0.3,2,76542
-0.001830118,54.960849900,-0.002296078,0.170164389,0.05,3,82438
-0.001569238,100.684431000,-0.002296078,0.026698272,0.1,3,88311
-0.002589642,100.677155000,-0.002296078,0.074648583,0.15000000000000002,3,94210
-0.002065592,100.670388000,-0.002296078,0.114700128,0.2,3,100094
-0.013212447,100.652931000,-0.002296078,0.151356904,0.25,3,105989
-0.015467530,100.651404000,-0.002296078,0.189668504,0.3,3,111861
-0.019684803,100.650356000,-0.002296078,0.227845735,0.35,3,117734
-0.022314272,100.648020000,-0.002296078,0.265219581,0.39999999999999997,3,123684
-0.024554570,100.646763000,-0.002296078,0.303002835,0.44999999999999996,3,129593
-0.027277485,100.646463000,-0.002296078,0.342593370,0.49999999999999994,3,135475
-0.030849654,100.645625000,-0.002296078,0.000093839,0.5499999999999999,3,141365
