"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-0.008861702,-0.015888392,-0.008861702,0.000002669,0,1,1
-0.008322612,-0.020137788,-0.008322612,0.043646353,0.05,1,4074
-0.008383447,-0.020455512,-0.008383447,0.087339258,0.1,1,8039
-0.007263347,-0.020673929,-0.007263347,0.130719943,0.15000000000000002,1,11998
-0.007361882,-0.020867519,-0.007361882,0.170090701,0.2,1,15954
-0.007289903,-0.021033031,-0.007289903,0.213581389,0.25,1,19917
-0.007063812,-0.021148299,-0.007063812,0.257022533,0.3,1,23875
-0.006326926,-0.021259132,-0.006326926,0.300744117,0.35,1,27870
-0.006844364,-0.021329475,-0.006844364,0.344248888,0.39999999999999997,1,31835
-0.006762763,-0.021419916,-0.006762763,0.387935407,0.44999999999999996,1,35795
-0.006727501,-0.021470751,-0.006727501,0.431460339,0.49999999999999994,1,39754
-0.006023944,-0.021531341,-0.006023944,0.470572916,0.5499999999999999,1,43702
-0.006051801,-0.021585132,-0.006051801,0.514161890,0.6,1,49115
-0.006011824,-0.021634786,-0.006011824,0.557844258,0.65,1,53070
-0.006096242,-0.021664637,-0.006096242,0.601387573,0.7000000000000001,1,57021
-0.006195012,-0.021706311,-0.006195012,0.645074981,0.7500000000000001,1,60979
-0.006259354,-0.021756555,-0.006259354,0.688514524,0.8000000000000002,1,64921
-0.005656004,-0.021757146,-0.005656004,0.727879414,0.8500000000000002,1,68881
-0.005077881,-0.021793204,-0.005077881,0.771396638,0.9000000000000002,1,72831
-0.004601693,-0.021822760,-0.004601693,0.815023266,0.9500000000000003,1,76787
-0.005267785,-0.021854385,-0.005267785,0.858556500,1.0000000000000002,1,80737
-0.005981983,72.401104500,-0.008861702,-0.000037062,0,2,94586
-0.005235346,84.406639500,-0.008322612,0.043681934,0.05,2,98740
-0.005767918,84.448271800,-0.008383447,0.087392035,0.1,2,102710
-0.005496149,84.451288200,-0.007263347,0.130787546,0.15000000000000002,2,106672
-0.004562289,84.453677400,-0.007361882,0.170160083,0.2,2,110640
-0.004647970,84.456723700,-0.007289903,0.213650178,0.25,2,114594
-0.005883178,84.460098500,-0.007063812,0.257137274,0.3,2,118553
-0.004634280,84.463592700,-0.006326926,0.300817350,0.35,2,122549
-0.005718316,84.466549400,-0.006844364,0.344337242,0.39999999999999997,2,126513
-0.005432365,84.469595700,-0.006762763,0.387994111,0.44999999999999996,2,130470
-0.005607258,84.473030200,-0.006727501,0.431497696,0.49999999999999994,2,134425
-0.005606287,84.476166100,-0.006023944,0.470616797,0.5499999999999999,2,138389
-0.004880040,84.479600600,-0.006051801,0.514160704,0.6,2,142335
-0.004806613,84.483035100,-0.006011824,0.557808383,0.65,2,146288
-0.005649297,84.487992700,-0.006096242,0.601372452,0.7000000000000001,2,150250
-0.004290828,84.491487000,-0.006195012,0.645068755,0.7500000000000001,2,154205
-0.004512953,84.495369500,-0.006259354,0.688453447,0.8000000000000002,2,158166
-0.004366116,84.499252000,-0.005656004,0.727825157,0.8500000000000002,2,162121
-0.005013520,84.502865700,-0.005077881,0.771312435,0.9000000000000002,2,166064
-0.004946511,84.506509300,-0.004601693,0.814925424,0.9500000000000003,2,170026
-0.005001497,146.263739000,-0.008861702,-0.000021348,0,3,181479
-0.004795911,146.345242000,-0.008322612,0.043640423,0.05,3,185505
-0.004963196,146.352051000,-0.008383447,0.087352304,0.1,3,189464
-0.004669487,146.357845000,-0.007263347,0.130762343,0.15000000000000002,3,193418
-0.005267252,146.364087000,-0.007361882,0.170133398,0.2,3,197381
-0.004734812,146.370120000,-0.007289903,0.213634167,0.25,3,201341
-0.004522846,146.376302000,-0.007063812,0.257112073,0.3,3,205307
-0.004445927,146.382932000,-0.006326926,0.300823279,0.35,3,209309
-0.005020379,146.389144000,-0.006844364,0.344323010,0.39999999999999997,3,213263
-0.004934703,146.395386000,-0.006762763,0.388023167,0.44999999999999996,3,217232
-0.005298141,146.401568000,-0.006727501,0.431542763,0.49999999999999994,3,221177
-0.004935405,146.407720000,-0.006023944,0.470681728,0.5499999999999999,3,225133
-0.003892405,146.413842000,-0.006051801,0.514257063,0.6,3,229094
-0.003227786,146.419786000,-0.006011824,0.557926386,0.65,3,233053
-0.004247962,146.425759000,-0.006096242,0.601492530,0.7000000000000001,3,237007
-0.004169093,146.431821000,-0.006195012,0.645177566,0.7500000000000001,3,240965
-0.004735703,146.438063000,-0.006259354,0.688585385,0.8000000000000002,3,244925
