"B,mTl","E,mV","I_M,mA","t,ms"
9.0,0,-0.017355649,4064
4.8,0,9.062551030,26903
14.4,0,35.657554500,50196
30.5,0,56.164741900,72561
47.5,0,77.052805300,127690
66.5,0,101.500865000,150179
81.9,0,121.485461000,166439
92.5,0,135.858421000,191578
111.0,0,162.262180000,215469
143.8,0,219.841182000,236841
188.1,0,294.176851000,256229
246.3,0,370.369039000,293209
280.0,0,415.483465000,311272
330.1,0,482.875030000,330588
382.6,0,555.197100000,354245
431.2,0,623.840762000,371740
468.1,0,677.716870000,388144
505.6,0,734.378744000,407822
542.4,0,792.846872000,437482
574.2,0,847.660556000,455654
595.2,0,886.906901000,477120
623.1,0,943.877306000,496339
655.2,0,1019.979630000,517558
668.5,0,1055.418760000,534419
681.3,0,1091.280250000,553488
693.7,0,1129.253530000,576919
701.8,0,1161.173020000,596092
715.6,0,1203.603520000,613596
720.9,0,1224.850230000,634934
727.6,0,1254.154680000,647760
739.2,0,1300.575130000,694432
759.0,0,1346.860770000,726900
770.8,0,1404.025880000,759661
