"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-0.004207010,0.290181900,-0.004207010,-0.000054259,0,1,0
-0.003429011,0.165710245,-0.003429011,0.043459852,0.05,1,4082
-0.003491305,0.160955419,-0.003491305,0.086987307,0.1,1,8073
-0.000368593,0.157633060,-0.000368593,0.130236640,0.15000000000000002,1,12026
-0.001226524,0.156315762,-0.001226524,0.169459146,0.2,1,15986
0.000249618,0.155966118,0.000249618,0.212778752,0.25,1,19941
0.001197609,0.154737191,0.001197609,0.256108456,0.3,1,23907
0.001907820,0.152785627,0.001907820,0.299626352,0.35,1,27899
0.002603463,0.150395456,0.002603463,0.342973391,0.39999999999999997,1,31858
0.004190190,0.149306032,0.004190190,0.386467191,0.44999999999999996,1,35818
0.004110518,0.147967454,0.004110518,0.429815119,0.49999999999999994,1,39779
0.005187816,0.146216277,0.005187816,0.468808212,0.5499999999999999,1,43735
0.006358668,0.144615540,0.006358668,0.512188161,0.6,1,47687
0.007316660,0.143224648,0.007316660,0.555688781,0.65,1,51646
0.007793721,0.141938678,0.007793721,0.599039081,0.7000000000000001,1,55608
0.008172991,0.141221065,0.008172991,0.642553339,0.7500000000000001,1,59557
0.009545363,0.140433110,0.009545363,0.685802833,0.8000000000000002,1,63505
0.010884415,0.140131642,0.010884415,0.724973226,0.8500000000000002,1,67463
0.011098552,0.140222082,0.011098552,0.768330345,0.9000000000000002,1,71425
0.011465457,0.139954898,0.011465457,0.811752099,0.9500000000000003,1,75372
0.013156024,0.139867709,0.013156024,0.855131455,1.0000000000000002,1,79336
-0.003776438,46.831166600,-0.004207010,-0.000058114,0,2,95698
-0.000527445,58.866293100,-0.003429011,0.043469933,0.05,2,99843
0.000732771,58.898906000,-0.003491305,0.087003615,0.1,2,103800
0.004266610,58.895232600,-0.000368593,0.130234268,0.15000000000000002,2,107760
0.005646893,58.892365500,-0.001226524,0.169481088,0.2,2,111701
0.009341241,58.890185300,0.000249618,0.212804547,0.25,2,115648
0.011184816,58.888602500,0.001197609,0.256164789,0.3,2,119618
0.014187531,58.887467600,0.001907820,0.299652740,0.35,2,123611
0.017260442,58.886571600,0.002603463,0.342997110,0.39999999999999997,2,127551
0.019549528,58.886034100,0.004190190,0.386493579,0.44999999999999996,2,131503
0.022367842,58.885675700,0.004110518,0.429849512,0.49999999999999994,2,135452
0.024137134,58.885287400,0.005187816,0.468804061,0.5499999999999999,2,139393
0.025980286,58.885078400,0.006358668,0.512202985,0.6,2,143340
0.029850022,58.884570700,0.007316660,0.555706274,0.65,2,147298
0.033166854,58.884690100,0.007793721,0.599074363,0.7000000000000001,2,151245
0.034742083,58.884809600,0.008172991,0.642578244,0.7500000000000001,2,155201
0.037303555,58.884839400,0.009545363,0.685833964,0.8000000000000002,2,159161
0.040482112,58.884361600,0.010884415,0.725028373,0.8500000000000002,2,163125
0.041756899,58.884570700,0.011098552,0.768344280,0.9000000000000002,2,167081
0.045572714,58.884869300,0.011465457,0.811763662,0.9500000000000003,2,171041
0.095186298,130.855156000,0.013156024,0.855123450,1.0000000000000002,2,179951
-0.004532857,130.876300000,-0.004207010,-0.000057817,0,3,184567
0.001469467,130.869401000,-0.003429011,0.043467857,0.05,3,188606
0.006028564,130.864713000,-0.003491305,0.087012510,0.1,3,192563
0.011296527,130.861577000,-0.000368593,0.130233972,0.15000000000000002,3,196513
0.016008610,130.858740000,-0.001226524,0.169480198,0.2,3,200476
0.019503517,130.856081000,0.000249618,0.212835977,0.25,3,204439
0.024906547,130.854528000,0.001197609,0.256158267,0.3,3,208399
0.030327440,130.853603000,0.001907820,0.299672901,0.35,3,212394
0.035026192,130.852886000,0.002603463,0.343012527,0.39999999999999997,3,216361
0.041147008,130.851363000,0.004190190,0.386510479,0.44999999999999996,3,220319
0.045595142,130.851094000,0.004110518,0.429824310,0.49999999999999994,3,224283
0.050021318,130.850288000,0.005187816,0.468815031,0.5499999999999999,3,228226
0.055029338,130.849690000,0.006358668,0.512207729,0.6,3,232179
0.060271597,130.849750000,0.007316660,0.555682258,0.65,3,236130
0.064164550,130.849869000,0.007793721,0.599065468,0.7000000000000001,3,240094
0.070309459,130.849690000,0.008172991,0.642576762,0.7500000000000001,3,244052
0.073875219,130.849660000,0.009545363,0.685852939,0.8000000000000002,3,248008
0.079427136,130.849511000,0.010884415,0.725074032,0.8500000000000002,3,251965
0.085358298,130.849481000,0.011098552,0.768367406,0.9000000000000002,3,255928
-0.003374284,272.558808000,-0.004207010,0.000011267,0,4,275658
0.006474259,280.318097000,-0.003429011,0.043490688,0.05,4,279694
0.015328203,280.324065000,-0.003491305,0.087031486,0.1,4,283638
0.027083254,280.327049000,-0.000368593,0.130278151,0.15000000000000002,4,287584
0.035481261,280.344954000,-0.001226524,0.169480495,0.2,4,291552
0.046302432,280.333018000,0.000249618,0.212835087,0.25,4,295514
0.055977856,280.318097000,0.001197609,0.256101637,0.3,4,299470
0.066514688,280.341970000,0.001907820,0.299656890,0.35,4,303488
0.076741728,280.338986000,0.002603463,0.342994441,0.39999999999999997,4,307451
0.086074150,280.324065000,0.004190190,0.386481719,0.44999999999999996,4,311411
0.096577254,280.333018000,0.004110518,0.429848326,0.49999999999999994,4,315374
0.105920712,280.333018000,0.005187816,0.468812066,0.5499999999999999,4,319341
0.116125632,280.338986000,0.006358668,0.512206840,0.6,4,323302
0.126402200,280.330034000,0.007316660,0.555662393,0.65,4,327267
0.137016112,280.350922000,0.007793721,0.599060428,0.7000000000000001,4,331236
0.146274304,280.341970000,0.008172991,0.642576762,0.7500000000000001,4,335180
0.155905408,280.347938000,0.009545363,0.685804315,0.8000000000000002,4,339123
0.166040112,280.347938000,0.010884415,0.725006729,0.8500000000000002,4,343081
0.176007504,280.344954000,0.011098552,0.768307812,0.9000000000000002,4,347040
0.186340352,280.356890000,0.011465457,0.811739350,0.9500000000000003,4,350982
-0.005324993,649.308078000,-0.004207010,-0.000043882,0,5,381949
0.018369059,648.708289000,-0.003429011,0.043471712,0.05,5,385989
0.041395904,648.609816000,-0.003491305,0.086980784,0.1,5,389934
0.063076954,648.547151000,-0.000368593,0.130204618,0.15000000000000002,5,393889
0.084413542,648.460614000,-0.001226524,0.169421490,0.2,5,397858
0.106153888,648.353189000,0.000249618,0.212758886,0.25,5,401799
0.130015848,648.308429000,0.001197609,0.256071099,0.3,5,405752
0.152012832,648.272621000,0.001907820,0.299551340,0.35,5,409762
0.173777792,648.180116000,0.002603463,0.342871102,0.39999999999999997,5,413724
0.197498592,648.165196000,0.004190190,0.386342073,0.44999999999999996,5,417693
0.219944880,648.069707000,0.004110518,0.429696820,0.49999999999999994,5,421640
0.239680544,648.045835000,0.005187816,0.468639213,0.5499999999999999,5,425603
0.262748240,648.004058000,0.006358668,0.512005820,0.6,5,429567
0.284652448,647.965266000,0.007316660,0.555494284,0.65,5,433517
0.307800960,647.980186000,0.007793721,0.598843694,0.7000000000000001,5,437460
0.330804608,647.911553000,0.008172991,0.642335419,0.7500000000000001,5,441392
0.352818656,647.875745000,0.009545363,0.685587285,0.8000000000000002,5,445354
0.373201760,647.816064000,0.010884415,0.724768352,0.8500000000000002,5,449296
0.395404960,647.786224000,0.011098552,0.768064394,0.9000000000000002,5,453259
0.418803872,647.723560000,0.011465457,0.811479329,0.9500000000000003,5,457243
-0.002669224,845.194596000,-0.004207010,-0.000013046,0,6,473083
0.023002571,845.134915000,-0.003429011,0.043460445,0.05,6,477107
0.050357914,845.081203000,-0.003491305,0.086973668,0.1,6,481043
0.078568051,844.985714000,-0.000368593,0.130166072,0.15000000000000002,6,485005
0.103123272,844.878289000,-0.001226524,0.169376125,0.2,6,488948
0.130815848,844.773848000,0.000249618,0.212714410,0.25,6,492914
0.158581024,844.693279000,0.001197609,0.256000831,0.3,6,496866
0.186317232,844.639567000,0.001907820,0.299513686,0.35,6,500864
0.213951264,844.529158000,0.002603463,0.342819809,0.39999999999999997,6,504835
0.242472448,844.436653000,0.004190190,0.386287519,0.44999999999999996,6,508781
0.269121696,844.353100000,0.004110518,0.429617064,0.49999999999999994,6,512752
0.295188928,844.254627000,0.005187816,0.468574578,0.5499999999999999,6,516713
0.321711328,844.135266000,0.006358668,0.511929029,0.6,6,520677
