"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-36.829542400,-139.180353000,-36.829542400,-0.000002965,0.05,1,1
-56.566073600,-151.485727000,-56.566073600,-0.000002965,0.1,1,4169
-69.453088000,-151.603396000,-69.453088000,-0.000008006,0.15000000000000002,1,8135
-73.334982400,-151.605099000,-73.334982400,-0.000008302,0.2,1,12097
-75.275820800,-151.607966000,-75.275820800,-0.000004151,0.25,1,16048
-79.762707200,-151.609847000,-79.762707200,-0.000005634,0.3,1,20002
-80.203820800,-151.611818000,-80.203820800,-0.000005930,0.35,1,23949
-83.413971200,-151.612028000,-83.413971200,-0.000000889,0.39999999999999997,1,27909
-84.917523200,-151.612147000,-84.917523200,-0.000007116,0.44999999999999996,1,31859
-86.850508800,-151.613192000,-86.850508800,0.000000297,0.49999999999999994,1,35817
-88.568697600,-151.614178000,-88.568697600,-0.000002668,0.5499999999999999,1,39785
-87.978521600,-151.614506000,-87.978521600,-0.000007116,0.6,1,43741
-91.360857600,-151.614835000,-91.360857600,-0.000005930,0.65,1,47700
-92.864281600,-151.615014000,-92.864281600,-0.000005040,0.7000000000000001,1,51642
-95.226912000,-151.615074000,-95.226912000,-0.000005040,0.7500000000000001,1,55591
-96.300883200,-151.615193000,-96.300883200,-0.000002075,0.8000000000000002,1,59549
-97.160051200,-151.615552000,-97.160051200,-0.000002965,0.8500000000000002,1,63501
-98.448710400,-151.615163000,-98.448710400,-0.000005040,0.9000000000000002,1,67448
-99.522598400,-151.615791000,-99.522598400,0.000000890,0.9500000000000003,1,71397
-100.596472000,-151.615820000,-100.596472000,-0.000002668,1.0000000000000002,1,75349
-100.176872000,-151.615372000,-100.176872000,-0.000001779,1.0500000000000003,1,79303
-107.684384000,-793.744201000,-107.684384000,-0.000005634,0,2,107297
-108.113944000,-813.032742000,-36.829542400,-0.000001779,0.05,2,111336
-108.758224000,-812.937253000,-56.566073600,-0.000000296,0.1,2,115288
-109.617304000,-812.865636000,-69.453088000,-0.000009785,0.15000000000000002,2,119252
-110.261528000,-812.752243000,-73.334982400,-0.000005634,0.2,2,123191
-110.905824000,-812.668691000,-75.275820800,-0.000004151,0.25,2,127130
-111.550080000,-812.600058000,-79.762707200,-0.000001186,0.3,2,131095
-112.624080000,-812.480697000,-80.203820800,-0.000005040,0.35,2,135056
-113.053760000,-812.346416000,-83.413971200,-0.000004151,0.39999999999999997,2,138999
-112.003544000,-812.250927000,-84.917523200,-0.000000889,0.44999999999999996,2,142963
-114.772064000,-812.158422000,-86.850508800,0.000000000,0.49999999999999994,2,146905
-115.631272000,-812.053981000,-88.568697600,-0.000004151,0.5499999999999999,2,150869
-116.490208000,-811.937604000,-87.978521600,-0.000009785,0.6,2,154811
-117.349280000,-811.880907000,-91.360857600,-0.000005930,0.65,2,158767
-117.993480000,-811.743642000,-92.864281600,-0.000005930,0.7000000000000001,2,162729
-118.852632000,-811.645169000,-95.226912000,-0.000005040,0.7500000000000001,2,166694
-116.807560000,-811.537744000,-96.300883200,-0.000006227,0.8000000000000002,2,170639
