"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
-67.089670400,-809.684663000,-67.089670400,0.000012453,0.05,1,1
-41.539091200,-809.595142000,-41.539091200,0.000013046,0.1,1,3998
-76.325094400,-809.505621000,-76.325094400,0.000018087,0.15000000000000002,1,7950
-81.694700800,-809.392228000,-81.694700800,0.000036767,0.2,1,11913
-84.006432000,-809.311659000,-84.006432000,0.000036470,0.25,1,15878
-89.856531200,-809.216170000,-89.856531200,0.000048034,0.3,1,19842
-93.078451200,-809.123665000,-93.078451200,0.000061377,0.35,1,23806
-96.300262400,-809.010272000,-96.300262400,0.000083911,0.39999999999999997,1,27750
-98.877670400,-808.917767000,-98.877670400,0.051290536,0.44999999999999996,1,31686
-101.455104000,-808.837199000,-101.455104000,0.010557340,0.49999999999999994,1,35649
-103.602848000,-808.685013000,-103.602848000,0.053989024,0.5499999999999999,1,39592
-105.535768000,-808.646221000,-105.535768000,0.017587165,0.6,1,43546
-107.683664000,-808.535812000,-107.683664000,0.000246395,0.65,1,47508
-109.401864000,-808.443307000,-109.401864000,0.000274563,0.7000000000000001,1,51473
-111.120072000,-808.332898000,-111.120072000,0.637861501,0.7500000000000001,1,55434
-112.623488000,-808.234425000,-112.623488000,0.680894155,0.8000000000000002,1,59425
-115.415712000,-808.147888000,-115.415712000,0.719824392,0.8500000000000002,1,63384
-117.348752000,-808.046431000,-117.348752000,0.762836101,0.9000000000000002,1,67343
-119.496552000,-807.959894000,-119.496552000,0.805947727,0.9500000000000003,1,71304
-79.999910400,-807.873358000,-79.999910400,0.849023181,1.0000000000000002,1,75264
-26.303488000,-807.783837000,-26.303488000,0.892057127,1.0500000000000003,1,79232
