"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
0.000355139,1.488692870,0.000355139,0.038877092,0.1,1,0
-0.002373420,0.868532180,0.000355139,0.077807794,0.15000000000000002,1,6063
-0.004158262,0.842025736,0.000355139,0.116496229,0.2,1,11954
-0.004123071,0.831422388,0.000355139,0.151526258,0.25,1,17838
-0.005132548,0.823627090,0.000355139,0.190165631,0.3,1,23726
-0.006883621,0.813779196,0.000355139,0.228743907,0.35,1,29631
-0.007573046,0.809314956,0.000355139,0.267455703,0.39999999999999997,1,35572
-0.007502185,0.807189424,0.000355139,0.306211017,0.44999999999999996,1,41460
-0.009060970,0.803288811,0.000355139,0.344997659,0.49999999999999994,1,47375
-0.008764450,0.795327182,0.000355139,0.383571802,0.5499999999999999,1,53260
-0.010229716,0.787794870,0.000355139,0.418166084,0.6,1,59135
-0.011859376,0.776049742,0.000355139,0.456191688,0.65,1,65014
-0.011463837,0.766081770,0.000355139,0.493528072,0.7000000000000001,1,70893
-0.013294628,0.754184838,0.000355139,0.532019165,0.7500000000000001,1,76765
-0.013833250,0.747803795,0.000355139,0.571239673,0.8000000000000002,1,82653
-0.014835451,0.736415046,0.000355139,0.610199506,0.8500000000000002,1,88551
-0.015108267,0.729380540,0.000355139,0.645261642,0.9000000000000002,1,94407
-0.016208696,0.719734556,0.000355139,0.683380344,0.9500000000000003,1,100293
-0.017479082,0.702068831,0.000355139,0.721041832,1.0000000000000002,1,106183
-0.018721347,0.686481200,0.000355139,0.758607266,1.0500000000000003,1,112099
-0.025965846,331.090120000,-0.025965846,0.000077288,0.05,2,160609
-0.011737389,343.253867000,-0.025965846,0.038833850,0.1,2,166755
-0.024136333,343.238965000,-0.025965846,0.077665040,0.15000000000000002,2,172667
-0.035264893,343.250887000,-0.025965846,0.116280177,0.2,2,178548
-0.046075766,343.283670000,-0.025965846,0.151300748,0.25,2,184449
-0.056121261,343.271749000,-0.025965846,0.190002188,0.3,2,190331
-0.067758458,343.268769000,-0.025965846,0.228887543,0.35,2,196248
-0.077852877,343.253867000,-0.025965846,0.267860605,0.39999999999999997,2,202216
-0.089023437,343.253867000,-0.025965846,0.306597004,0.44999999999999996,2,208135
-0.100972776,343.268769000,-0.025965846,0.345336358,0.49999999999999994,2,214050
-0.112318312,343.313474000,-0.025965846,0.383713074,0.5499999999999999,2,219972
-0.121149688,343.325395000,-0.025965846,0.417832705,0.6,2,225886
-0.132985040,343.328375000,-0.025965846,0.456590383,0.65,2,231759
-0.144995264,343.337316000,-0.025965846,0.496212837,0.7000000000000001,2,237625
-0.156578896,343.334336000,-0.025965846,0.535520827,0.7500000000000001,2,243517
-0.001326406,814.861727000,-0.001326406,0.000044777,0.05,3,257139
-0.026248562,814.828944000,-0.001326406,0.038871681,0.1,3,263089
-0.050198563,814.790199000,-0.001326406,0.077798040,0.15000000000000002,3,268996
-0.075266835,814.706750000,-0.001326406,0.116510120,0.2,3,274883
-0.097254669,814.638202000,-0.001326406,0.151632954,0.25,3,280786
-0.121374176,814.578596000,-0.001326406,0.190431928,0.3,3,286647
-0.145810480,814.489186000,-0.001326406,0.229207031,0.35,3,292510
-0.170545168,814.381894000,-0.001326406,0.268001878,0.39999999999999997,3,298456
-0.195202416,814.310366000,-0.001326406,0.306715519,0.44999999999999996,3,304374
-0.219033264,814.241818000,-0.001326406,0.345576935,0.49999999999999994,3,310241
